family,tier,design_id,ok,psi_hat,U,p,Q,msg,spec,features,Q_json
did,Tier1_Core,Tier1_Core_0000,True,[0.],[[1.e-12]],[1.],"{'names': ['did', 'x1'], 'transform': 'log1p', 'winsor_p': None, 'uFE': 1, 'tFE': 1, 'control_L': 1, 'pretrend_max_abs_t': 0.0}",,"{'m': 'DID', 'p': {'transform': 'log1p', 'winsor_p': None}, 's': {'drop_last_k': 0}, 'e': {'estimator': 'OLS', 'uFE': 1, 'tFE': 1, 'control_L': 1}, 'i': {'cluster': 'unit', 'psi_index': 0}}","{'m_is_DID': 1.0, 'm_is_IV': 0.0, 'm_is_GLM': 0.0, 'drop_last_k': 0.0, 'uFE': 1.0, 'tFE': 1.0, 'control_L': 1.0, 'transform_log1p': 1.0, 'winsor_p': 0.0, 'est_is_OLS': 1.0, 'est_is_GLM': 0.0, 'cluster_unit': 1.0}","{""names"": [""did"", ""x1""], ""transform"": ""log1p"", ""winsor_p"": null, ""uFE"": 1, ""tFE"": 1, ""control_L"": 1, ""pretrend_max_abs_t"": 0.0}"
did,Tier1_Core,Tier1_Core_0001,True,[0.],[[1.e-12]],[1.],"{'names': ['did', 'x1'], 'transform': 'log1p', 'winsor_p': 0.01, 'uFE': 1, 'tFE': 1, 'control_L': 1, 'pretrend_max_abs_t': 0.0}",,"{'m': 'DID', 'p': {'transform': 'log1p', 'winsor_p': 0.01}, 's': {'drop_last_k': 0}, 'e': {'estimator': 'OLS', 'uFE': 1, 'tFE': 1, 'control_L': 1}, 'i': {'cluster': 'unit', 'psi_index': 0}}","{'m_is_DID': 1.0, 'm_is_IV': 0.0, 'm_is_GLM': 0.0, 'drop_last_k': 0.0, 'uFE': 1.0, 'tFE': 1.0, 'control_L': 1.0, 'transform_log1p': 1.0, 'winsor_p': 0.01, 'est_is_OLS': 1.0, 'est_is_GLM': 0.0, 'cluster_unit': 1.0}","{""names"": [""did"", ""x1""], ""transform"": ""log1p"", ""winsor_p"": 0.01, ""uFE"": 1, ""tFE"": 1, ""control_L"": 1, ""pretrend_max_abs_t"": 0.0}"
did,Tier1_Core,Tier1_Core_0002,True,[0.],[[1.e-12]],[1.],"{'names': ['did', 'x1', 'x2'], 'transform': 'log1p', 'winsor_p': None, 'uFE': 1, 'tFE': 1, 'control_L': 2, 'pretrend_max_abs_t': 0.0}",,"{'m': 'DID', 'p': {'transform': 'log1p', 'winsor_p': None}, 's': {'drop_last_k': 0}, 'e': {'estimator': 'OLS', 'uFE': 1, 'tFE': 1, 'control_L': 2}, 'i': {'cluster': 'unit', 'psi_index': 0}}","{'m_is_DID': 1.0, 'm_is_IV': 0.0, 'm_is_GLM': 0.0, 'drop_last_k': 0.0, 'uFE': 1.0, 'tFE': 1.0, 'control_L': 2.0, 'transform_log1p': 1.0, 'winsor_p': 0.0, 'est_is_OLS': 1.0, 'est_is_GLM': 0.0, 'cluster_unit': 1.0}","{""names"": [""did"", ""x1"", ""x2""], ""transform"": ""log1p"", ""winsor_p"": null, ""uFE"": 1, ""tFE"": 1, ""control_L"": 2, ""pretrend_max_abs_t"": 0.0}"
did,Tier1_Core,Tier1_Core_0003,True,[0.],[[1.e-12]],[1.],"{'names': ['did', 'x1', 'x2'], 'transform': 'log1p', 'winsor_p': 0.01, 'uFE': 1, 'tFE': 1, 'control_L': 2, 'pretrend_max_abs_t': 0.0}",,"{'m': 'DID', 'p': {'transform': 'log1p', 'winsor_p': 0.01}, 's': {'drop_last_k': 0}, 'e': {'estimator': 'OLS', 'uFE': 1, 'tFE': 1, 'control_L': 2}, 'i': {'cluster': 'unit', 'psi_index': 0}}","{'m_is_DID': 1.0, 'm_is_IV': 0.0, 'm_is_GLM': 0.0, 'drop_last_k': 0.0, 'uFE': 1.0, 'tFE': 1.0, 'control_L': 2.0, 'transform_log1p': 1.0, 'winsor_p': 0.01, 'est_is_OLS': 1.0, 'est_is_GLM': 0.0, 'cluster_unit': 1.0}","{""names"": [""did"", ""x1"", ""x2""], ""transform"": ""log1p"", ""winsor_p"": 0.01, ""uFE"": 1, ""tFE"": 1, ""control_L"": 2, ""pretrend_max_abs_t"": 0.0}"
